asset_id,related_timeline_id,asset_title,event_year,description,category,location,source,source_url,asset_url,creator_photographer,copyright_permission_status,attribution_required,verification_status,suggested_filename,cloudinary_public_id,cloudinary_url,notes_limitations,submitted_by,date_submitted
MED-EK023-01,EK-023,"Ayo Fayose, governor (second term)",2014-2018,Portrait for Fayose's second-term entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Wikimedia/Wikipedia image,,https://thumb.wikimedia.org/wikipedia/en/thumb/4/47/This_the_the_picture_of_ayodele_fayose.jpg/330px-This_the_the_picture_of_ayodele_fayose.jpg,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-023-ayo-fayose-governor-second-term-2014.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK029-01,EK-029,"Kayode Fayemi, governor (second term)",2018-2022,Portrait for Fayemi's second-term entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Facebook-hosted image,,https://scontent-los4-1.xx.fbcdn.net/v/t39.30808-6/679090101_1579714070188057_3127791623209912005_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1364&ctp=s2048x1364&_nc_cat=109&ccb=1-7&_nc_sid=833d8c&_nc_ohc=FwDQqjwAkTMQ7kNvwE0nRoQ&_nc_oc=Adof8z07hGLtyggdbc6gDQS4PzLHAD8maIEeMufqG7q8-X_Eqpo64VOgcLQY6-9m85o&_nc_zt=23&_nc_ht=scontent-los4-1.xx&_nc_gid=BHRtPXF67-INqkNwN5ex1A&_nc_ss=7b289&oh=00_AQIhritqgLHlkIgwkYhc9cwuUPrPxsLIquboiFsh-Gzbyg&oe=6ABB127A,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-029-kayode-fayemi-governor-second-term-2018.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK033-01,EK-033,"Biodun Oyebanji, governor-elect (2022)",2022,"Portrait, or a photo from the 2022 result declaration, for the election entry.",History,"Ado-Ekiti, Ado-Ekiti LGA",YouTube thumbnail,,https://i.ytimg.com/vi/Eyf7YAebBow/maxresdefault.jpg,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-033-biodun-oyebanji-governor-elect-2022-2022.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK034-02,EK-034,"Biodun Oyebanji sworn in, Government House, Ado-Ekiti",2022,"Photograph from the 16 October 2022 swearing-in, described as taken at about 12:53pm at the state's Government House.",History,"Ado-Ekiti, Ado-Ekiti LGA","Kolaking newsletter, quoting/describing the ceremony (secondary account)",https://kolaking.substack.com/p/abiodun-oyebanji-sworn-in-as-ekiti,,Unknown - likely a state government or press photographer,Needs verification - likely copyrighted,Yes,Needs verification,EK-034-biodun-oyebanji-sworn-in-government-hous-2022.jpg,none,none,"This is a secondary newsletter account, not the original photographer or agency. The Ekiti State Government's own website (ekitistate.gov.ng) is the better first place to look for a photo the project could be granted rights to use; it was not directly opened during this search.",Member 4,2026-09-24
MED-EK044-01,EK-044,"Biodun Oyebanji, re-elected governor (2026)",2026,Photograph connected to the June 2026 re-election declaration.,History,"Ado-Ekiti, Ado-Ekiti LGA",Facebook photo post,https://www.facebook.com/photo/?fbid=28194012103604809&set=a.987470244685696,,Unknown - likely a news agency photographer,Permission/reuse rights not established,Yes,Needs verification,EK-044-biodun-oyebanji-re-elected-governor-2026-2026.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: The Channels Television results graphic already cited as a timeline source (EK-044) is a data table, not a photograph of the ceremony; a separate photo of the actual declaration event has not been confirmed.",Member 4,2026-09-24
MED-EK001-01,EK-001,Ekiti State on the map of Nigeria,1996,Map or graphic for the state-creation entry.,History,Statewide,ResearchGate – Akintunde Oloidi publication figure,https://www.researchgate.net/profile/Akintunde-Oloidi/publication/338644850/figure/fig1/AS:848230808047616@1579245392662/Map-of-Ekiti-State-showing-the-locations-of-Ado-and.ppm,,none,Permission/reuse rights not established,Yes,Needs verification,none,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: No specific candidate identified. Wikimedia Commons' ""Ekiti State"" category is the best next place to check for a plain, reusable outline map.",Member 4,2026-09-24
MED-EK004-01,EK-004,"Federal Medical Centre, Ido-Ekiti",1998,Photograph of the hospital for the 1998-establishment entry.,History,"Ido-Ekiti, Irepodun/Ifelodun LGA",Foundation for Investigative Journalism (FIJ),https://fij.ng/article/missing-file-despite-governors-intervention-fth-ido-ekiti-frustrates-treatment-of-schoolgirl-who-lost-leg-in-an-accident/,,none,Permission/reuse rights not established,Yes,Needs verification,none,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Not yet searched for a specific image. The hospital's own site (fethi.gov.ng) is the direct source to try.",Member 4,2026-09-24
MED-EK006-01,EK-006,Ekiti State House of Assembly complex,1999,"Photograph of the complex, built during Atanda Yusuf's administration and inaugurated in 1999.",History,"Ado-Ekiti, Ado-Ekiti LGA",Ekiti State House of Assembly,,https://www.hoa.ek.gov.ng/assets/image/gallery/assembly.png,Unknown - likely the Assembly's own media unit,Permission/reuse rights not established,Yes,Needs verification,EK-006-ekiti-state-house-of-assembly-complex-1999.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Site surfaced in an earlier search but was not opened to confirm an actual photo is available on it; visit directly and contact the Assembly's press office.",Member 4,2026-09-24
MED-EK013-01,EK-013,Afe Babalola University (ABUAD) campus,2009,Campus photograph for the university's 2009-establishment entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Afe Babalola University (ABUAD) archive,https://www.abuad.edu.ng/?p=archive,,Unknown - ABUAD's own media unit,Permission/reuse rights not established,Yes,Needs verification,EK-013-afe-babalola-university-abuad-campus-2009.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: ABUAD's own news site is active and image-rich (confirmed via search), but no single dated campus photo was opened and confirmed here. Contact ABUAD directly for a photo it can license to the project.",Member 4,2026-09-24
MED-EK015-01,EK-015,"Ikogosi Warm Springs Resort, general view",2011,"View of where the warm and cold springs meet, for the 2011 rehabilitation entry.",History,"Ikogosi-Ekiti, Ekiti West LGA",TikTok – @foluoyefeso,https://www.tiktok.com/@foluoyefeso/video/7260128739215035653,,Unknown - contact the resort directly,Permission/reuse rights not established,Yes,Needs verification,EK-015-ikogosi-warm-springs-resort-general-view-2011.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: The resort's own site is the best first contact. A specific photo file and its licence were not confirmed.",Member 4,2026-09-24
MED-EK016-01,EK-016,Ekiti State University (EKSU) campus or gate,2011,Campus photograph for the 2011 university-renaming entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Nigeria Property Centre – Area Guides,,https://images.nigeriapropertycentre.com/area-guides/e91d7f73-5c99-447e-865c-d44c73ab5791.jpg,Unknown - EKSU's own media unit,Permission/reuse rights not established,Yes,Needs verification,EK-016-ekiti-state-university-eksu-campus-or-ga-2011.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: EKSU's own site is the direct source to approach; a specific photo was not opened and confirmed.",Member 4,2026-09-24
MED-EK017-01,EK-017,"Federal University Oye-Ekiti (FUOYE), main or Ikole campus entrance",2011,Campus entrance photograph for the 2011 university-establishment entry.,History,"Oye-Ekiti and Ikole-Ekiti, Oye and Ikole LGAs",Examkits – FUOYE article,https://examkits.com/blog/federal-university-oye-ekiti-opens-applications-for-2025-2026-postgraduate-studies-a-pathway-to-your-academic-future/,,Samuel Ajala (named in the article's photo credit),Permission/reuse rights not established,Yes,Needs verification,EK-017-federal-university-oye-ekiti-fuoye-main--2011.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: This article names its photographer, which is better than most candidates in this tracker, but the project still needs to contact the photographer or publication for permission before use.",Member 4,2026-09-24
MED-EK020-01,EK-020,"Ikogosi Warm Springs Resort, redeveloped facilities",2012,Photograph for the entry on the resort's 2012 public reopening.,History,"Ikogosi-Ekiti, Ekiti West LGA",ATQ News – Ikogosi Warm Springs,,https://atqnews.com/wp-content/uploads/2024/06/Ikogosi-Warm-Springs.jpeg,Unknown - contact the resort directly,Permission/reuse rights not established,Yes,Needs verification,EK-020-ikogosi-warm-springs-resort-redeveloped--2012.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Same source and caution as EK-015; a specific 2012-dated photo has not been found.",Member 4,2026-09-24
MED-EK021-01,EK-021,"Ekiti Knowledge Zone, Ago Araromi site",2013,Photograph of the site for the entry on the project's 2013 conception.,History,"Ago Araromi, Ado-Ekiti LGA",Facebook group post,https://www.facebook.com/groups/1483466091887614/posts/3252310385003167/,,Unknown - likely the state government's own photographer,Permission/reuse rights not established,Yes,Needs verification,EK-021-ekiti-knowledge-zone-ago-araromi-site-2013.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: This is the same government report already cited as the timeline's textual source; check it directly for a usable photo of the site or the sod-turning.",Member 4,2026-09-24
MED-EK027-01,EK-027,Afe Babalola University Teaching Hospital building,2017,Photograph of the hospital for its 2017 inauguration entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Afe Babalola University Multi-System Hospital (AMSH),https://amsh.abuad.edu.ng/abuad-hospital-wins-special-award-for-outstanding-medical-infrastructure-patient-centeredness/,,Unknown - ABUAD's own media unit,Permission/reuse rights not established,Yes,Needs verification,EK-027-afe-babalola-university-teaching-hospita-2017.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Same source as EK-013; a specific hospital-building photo has not been opened and confirmed.",Member 4,2026-09-24
MED-EK030-01,EK-030,"Ekiti Agro-Allied International Cargo Airport, construction phase",2019,Construction-phase photograph for the airport's 2019 entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",DaScenario – Ekiti Agro-Allied International Airport image,,https://dascenario.com.ng/wp-content/uploads/2025/10/1737545290189.jpg,Unknown - likely a news photographer or the state government,Permission/reuse rights not established,Yes,Needs verification,EK-030-ekiti-agro-allied-international-cargo-ai-2019.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Several outlets (TheCable, VON, Ekiti State Government) have covered the airport at each stage, but no construction-era photo URL was captured; revisit these outlets directly for the 2019-2021 period.",Member 4,2026-09-24
MED-EK035-01,EK-035,"Ekiti airport, 2022 ceremonial commissioning",2022,"Photograph of the 2022 ceremonial commissioning, or of a Nigerian Air Force ATR 42 aircraft, the first to land there.",History,"Ado-Ekiti, Ado-Ekiti LGA","Air Cargo News: ""Nigeria's Ekiti State Agro-Allied International Airport opens with cargo plans""",https://www.aircargonews.net/?p=1054181,,"Jaromir Chalabala, credited to Shutterstock",Copyrighted stock photo - a Shutterstock licence would be required,"Yes, to the photographer and Shutterstock",Needs verification,EK-035-ekiti-airport-2022-ceremonial-commission-2022.jpg,none,none,"This article explicitly credits a named Shutterstock photographer, so this is clearly commercial stock photography, not a free image. Do not use without purchasing or licensing it through Shutterstock, or find a state-government photo of the same event instead.",Member 4,2026-09-24
MED-EK041-01,EK-041,"Ekiti airport, NCAA inspection or approval, 2025",2025,Photograph from the aviation minister's airport inspection ahead of the NCAA's commercial-operations approval.,History,"Ado-Ekiti, Ado-Ekiti LGA","Ekiti State Government: ""Aviation Minister, Keyamo Says Ekiti Airport Ready For Commercial Operations""",https://www.ekitistate.gov.ng/?p=30258,,Unknown - likely the state government's own photographer,Needs verification,Yes,Needs verification,EK-041-ekiti-airport-ncaa-inspection-or-approva-2025.jpg,none,none,A direct state-government article about this exact event; a strong first candidate once its photo (if any) is confirmed and permission sought.,Member 4,2026-09-24
MED-EK042-01,EK-042,"First commercial flight, Ekiti airport, 10 Dec 2025",2025,Photograph of the inaugural United Nigeria Airlines flight or the arrival ceremony.,History,"Ado-Ekiti, Ado-Ekiti LGA","Nigeria Housing Market: ""Ekiti Launches Commercial Operations at N49.7 Billion Agro-Allied International Cargo Airport""",https://www.nigeriahousingmarket.com/news/ekiti-agro-allied-international-cargo-airport-commences-commercial-operations,,Unknown - likely a news photographer or the state government,Needs verification,Yes,Needs verification,EK-042-first-commercial-flight-ekiti-airport-10-2025.jpg,none,none,TheCable's own coverage of this event is already cited as a timeline text source; check it directly for a usable photo as well.,Member 4,2026-09-24
MED-EK039-01,EK-039,"Udiroko festival, Ado-Ekiti, 2024",2024,"Photograph from the 2024 festival, matching this entry's description of senators' attendance.",History,"Ado-Ekiti, Ado-Ekiti LGA",Don Etiebet website – Udiroko image,,https://don-etiebet.com/wp-content/uploads/2023/03/SAM_0223-scaled.jpg,Unknown - likely the state government's own photographer,Permission/reuse rights not established,Yes,Needs verification,EK-039-udiroko-festival-ado-ekiti-2024-2024.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: A direct government article about this exact event and year; a strong candidate. The state's own site has published dated festival photos before (see 2012 and 2013 examples found in this search), so a 2024 photo is plausible there.",Member 4,2026-09-24
MED-EK040-01,EK-040,EKSUTH multipurpose hospital complex flag-off,2024,Photograph from the October 2024 flag-off ceremony.,History,"Ado-Ekiti, Ado-Ekiti LGA",Ekiti State Government report (already the timeline's text source for EK-040),https://www.ekitistate.gov.ng/?p=29579,,Unknown - likely the state government's own photographer,Needs verification,Yes,Needs verification,EK-040-eksuth-multipurpose-hospital-complex-fla-2024.jpg,none,none,The same article already cited for the event's facts; check it directly for a usable photo of the ceremony.,Member 4,2026-09-24
MED-EK043-01,EK-043,"Ekiti Knowledge Zone sod-turning, Ago Araromi",2026,"Photograph of the 9 June 2026 sod-turning, attended by Vice President Kashim Shettima.",History,"Ago Araromi, Ado-Ekiti LGA",Examkits – FUOYE article,https://examkits.com/blog/federal-university-oye-ekiti-opens-applications-for-2025-2026-postgraduate-studies-a-pathway-to-your-academic-future/,,Unknown - likely the state government's own photographer,Permission/reuse rights not established,Yes,Needs verification,EK-043-ekiti-knowledge-zone-sod-turning-ago-ara-2026.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Strong candidate: a direct government article about this exact ceremony. Confirm the photo and seek permission before use.",Member 4,2026-09-24
MED-EK045-01,EK-045,"Udiroko festival, Ado-Ekiti, 2026",2026,Photograph from the August 2026 festival.,History,"Ado-Ekiti, Ado-Ekiti LGA","Channels TV: ""Heritage, Unity, Progress on Display as Ado-Ekiti Celebrates Udiroko Festival"" (already a timeline source)",https://www.channelstv.com/2026/08/21/heritage-unity-progress-on-display-as-ado-ekiti-celebrates-udiroko-festival/,,Unknown - likely a Channels TV photographer,Needs verification - likely copyrighted,Yes,Needs verification,EK-045-udiroko-festival-ado-ekiti-2026-2026.jpg,none,none,Same article already used as the timeline's text source for this event; a broadcaster's photo would need explicit permission. The Ekiti State Government's own site is a safer alternative to approach in parallel.,Member 4,2026-09-24
MED-EK050-01,EK-050,"Ewi of Ado-Ekiti, Oba Rufus Adejugbe Aladesanmi III",2025,Photograph of the Ewi for the 35th coronation anniversary entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Historical Nigeria – Facebook post,https://www.facebook.com/HistoricalNigeria/posts/ewi-of-ado-ekitirufus-adeyemo-adejugbe-aladesanmi-iii-con-born-1945-is-a-yoruba-/122224428422189242/,,Unknown - likely the state government's own photographer or the palace,Permission/reuse rights not established,Yes,Needs verification,EK-050-ewi-of-ado-ekiti-oba-rufus-adejugbe-alad-2025.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: As this concerns a living traditional ruler, seek permission from the palace directly rather than treating any found photo as free to use, given the cultural weight involved.",Member 4,2026-09-24
MED-EK008-01,EK-008,2006 national population census,2006,"A document or logo representing the census, if used at all; a photograph of a specific event is unlikely to exist.",History,Statewide,Not yet sourced,none,,none,Unknown,"Yes, if a copyrighted document image is used",Not yet sourced,none,none,none,"No image search performed. A photograph of a census exercise is unlikely to exist for this specific entry; a document scan or NPC/NBS logo may be the only realistic option, if one is used at all.",Member 4,2026-09-24
MED-EK009-01,EK-009,2006 impeachment of Governor Fayose,2006,"A newspaper front page or similar contemporary document, if used; no event photograph has been sought.",History,"Ado-Ekiti, Ado-Ekiti LGA",Facebook photo post,https://www.facebook.com/photo/?fbid=122297957054076276&set=a.122135593022076276,,none,Permission/reuse rights not established,Yes,Needs verification,none,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: No image search performed. Newspaper archives (national dailies of Oct 2006) are the most likely place to look, but any front page found there is copyrighted to that publisher.",Member 4,2026-09-24
MED-EK018-01,EK-018,"Ekiti Social Security Scheme for the elderly, beneficiaries",2011,"A photograph of scheme beneficiaries, if one can be found and rights cleared.",History,"Ise-Ekiti, Ise/Orun LGA",Not yet sourced,none,,none,Unknown,Yes,Not yet sourced,none,none,none,No image search performed. The Ekiti State Government's own reports on the scheme (already cited in the timeline) are the first place to check.,Member 4,2026-09-24
MED-EK019-01,EK-019,"Social Security Scheme, bill-signing",2012,none,History,"Ado-Ekiti, Ado-Ekiti LGA",Not yet sourced,none,,none,Unknown,Yes,Not yet sourced,none,none,none,No image search performed.,Member 4,2026-09-24
MED-EK022-01,EK-022,"2014 governorship election, declaration or campaign",2014,"A photograph connected to the 2014 election, distinct from the INEC document already cited as the timeline's text source.",History,"Ado-Ekiti, Ado-Ekiti LGA",Not yet sourced,none,,none,Unknown,Yes,Not yet sourced,none,none,none,No image search performed for this specific entry.,Member 4,2026-09-24
MED-EK024-01,EK-024,"Supreme Court of Nigeria building, Abuja",2015,"A generic photograph of the courthouse, if used to illustrate the Supreme Court entry.",History,Abuja (outside Ekiti State),Not yet sourced,none,,none,Unknown,Yes,Not yet sourced,none,none,none,"No image search performed. Note this location is outside Ekiti State; a generic Supreme Court building photo, not an Ekiti-specific one, would be used here if at all.",Member 4,2026-09-24
MED-EK025-01,EK-025,Ekiti State Health Insurance Scheme,2016,none,History,Statewide,Not yet sourced,none,,none,Unknown,Yes,Not yet sourced,none,none,none,No image search performed; no obvious visual subject for a law-signing of this kind.,Member 4,2026-09-24
MED-EK026-01,EK-026,"Anti-open-grazing law, cattle grazing in Ekiti",2016,"A photograph illustrating grazing or livestock in Ekiti, if used; not a photograph of the bill-signing itself.",History,"Oke-Ako, Ikole LGA (site of the incident that prompted the law)",Not yet sourced,none,,none,Unknown,Yes,Not yet sourced,none,none,none,No image search performed.,Member 4,2026-09-24
MED-EK028-01,EK-028,"2018 governorship election, declaration or campaign",2018,"A photograph connected to the 2018 election, distinct from the Returning Officer's declaration already cited in the timeline text.",History,"Ado-Ekiti, Ado-Ekiti LGA",Not yet sourced,none,,none,Unknown,Yes,Not yet sourced,none,none,none,No image search performed for this specific entry.,Member 4,2026-09-24
