asset_id,related_timeline_id,image_filename,image_description,original_source,source_url,creator_owner,copyright_permission_status,attribution_required,verification_status,reviewer,image_treatment,notes
MED-EK014-01,EK-014,EK-014-kayode-fayemi-2010.jpg,Kayode Fayemi — 2010 record,Kayode Fayemi website image host,https://kfayemi.mckodev.com.ng/uploads/168081635687683filename.jpg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Direct image URL supplied; parent source and creator need confirmation.
MED-EK015-01,EK-015,EK-015-ikogosi-water-meeting-point.jpg,Ikogosi water meeting point,Google-hosted image / TikTok candidate,https://www.tiktok.com/@foluoyefeso/video/7260128739215035653,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Multiple candidate sources were supplied; confirm which exact source produced the uploaded image.
MED-EK016-01,EK-016,EK-016-eksu-gate.jpg,Ekiti State University gate,Nigeria Property Centre image,https://images.nigeriapropertycentre.com/area-guides/e91d7f73-5c99-447e-865c-d44c73ab5791.jpg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Direct image URL supplied; original photographer/owner not established.
MED-EK017-01,EK-017,EK-017-fuoye.jpg,Federal University Oye-Ekiti (FUOYE),Google-hosted image / Examkits candidate,https://examkits.com/blog/federal-university-oye-ekiti-opens-applications-for-2025-2026-postgraduate-studies-a-pathway-to-your-academic-future/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Multiple candidate sources were supplied; confirm exact source of uploaded image.
MED-EK020-01,EK-020,EK-020-ikogosi-warm-springs.jpg,Ikogosi Warm Springs entrance,ATQ News,https://atqnews.com/wp-content/uploads/2024/06/Ikogosi-Warm-Springs.jpeg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Direct image URL supplied; parent page/credit and reuse terms pending.
MED-EK021-01,EK-021,EK-021-ekiti-knowledge-zone.jpg,Ekiti Knowledge Zone,X/Twitter-hosted image / Facebook candidate,https://pbs.twimg.com/media/HMSqI2BXcAA6sKV.jpg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Multiple source candidates supplied; exact original post/owner should be confirmed.
MED-EK023-01,EK-023,EK-023-ayodele-fayose.jpg,Ayodele Fayose,Wikimedia thumbnail,https://thumb.wikimedia.org/wikipedia/en/thumb/4/47/This_the_the_picture_of_ayodele_fayose.jpg/330px-This_the_the_picture_of_ayodele_fayose.jpg,Unknown until file page is checked,Licence must be checked on Wikimedia file page,"Yes, if required by licence",Needs verification,Pending reviewer,Original downloaded image,Do not infer reuse rights from thumbnail URL; check the corresponding Wikimedia file page.
MED-EK027-01,EK-027,EK-027-abuad-hospital.jpg,ABUAD Multi-System Hospital,ABUAD Multi-System Hospital,https://amsh.abuad.edu.ng/abuad-hospital-wins-special-award-for-outstanding-medical-infrastructure-patient-centeredness/,ABUAD/AMSH / not individually credited,Rights not stated; reuse permission not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Institutional source page supplied.
MED-EK029-01,EK-029,EK-029-kayode-fayemi-second-term.jpg,Kayode Fayemi — second-term record,Facebook CDN image,https://scontent-los4-1.xx.fbcdn.net/v/t39.30808-6/679090101_1579714070188057_3127791623209912005_n.jpg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Temporary CDN URL is not sufficient provenance; recover the original Facebook post/page if possible.
MED-EK030-01,EK-030,EK-030-agro-allied-airport.jpg,Ekiti Agro-Allied International Cargo Airport,Da Scenario,https://dascenario.com.ng/wp-content/uploads/2025/10/1737545290189.jpg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Direct image URL supplied; parent page/creator and rights pending.
MED-EK033-01,EK-033,EK-033-bao-2022.jpg,BAO — 2022 record,YouTube thumbnail,https://i.ytimg.com/vi/Eyf7YAebBow/maxresdefault.jpg,Unknown / video publisher not yet recorded,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Record the original YouTube video/channel URL and publisher before final approval.
MED-EK039-01,EK-039,EK-039-udiroko-festival.jpg,Udiroko Festival,Don Etiebet website,https://don-etiebet.com/wp-content/uploads/2023/03/SAM_0223-scaled.jpg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Canonical three-digit EK ID normalized to EK-039.
MED-EK044-01,EK-044,EK-044-biodun-oyebanji-2026.jpg,Biodun Oyebanji — 2026 record,Facebook photo source supplied,https://www.facebook.com/photo/?fbid=28194012103604809&set=a.987470244685696,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Confirm exact image owner/creator and reuse permission.
MED-EK046-01,EK-046,EK-046-segun-oni-2009.jpg,Segun Oni — 2009 second-stint record,Ekiti State Government archive,https://www.ekitistate.gov.ng/archives/27893,Ekiti State Government / not individually credited,Rights not stated; reuse permission not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Canonical three-digit EK ID normalized to EK-046; confirm exact image on archive page and its credit.
