doc_id,path,source_title,source_url,class,tier,last_verified,ingestible
EK-HEA-TL-005,timeline/EK-HEA-TL-005.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-006,timeline/EK-HEA-TL-006.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-007,timeline/EK-HEA-TL-007.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-008,timeline/EK-HEA-TL-008.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-009,timeline/EK-HEA-TL-009.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-010,timeline/EK-HEA-TL-010.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-011,timeline/EK-HEA-TL-011.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-012,timeline/EK-HEA-TL-012.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-013,timeline/EK-HEA-TL-013.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-014,timeline/EK-HEA-TL-014.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-015,timeline/EK-HEA-TL-015.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-016,timeline/EK-HEA-TL-016.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-017,timeline/EK-HEA-TL-017.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
