asset_id,asset_title,lga,location,description,media_type,file_name,github_path,source_name,source_url,creator_photographer,date_created,date_accessed,rights_permission,license,verification_status,attribution_required,attribution_text,cloudinary_public_id,cloudinary_url,limitations,owner
EK30-LGA-IKR-001,Ikere LGA Highlight Map,Ikere,"Ikere LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ikere Local Government Area.,Map,ikere-lga-highlight-map-01.png,02_LGAs/media/ikere/ikere-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ikere/ikere-lga-highlight-map-01,,Illustrative boundary map requiring independent verification.,Akintade Daniel Emmanuel
EK30-LGA-IKR-002,Ikere Rock at Uro Quarters,Ikere,"Uro quarters, Ikere-Ekiti, Ekiti State",Natural rock formation consisting of a large boulder resting on another rock.,Photograph,ikere-uro-rock-01.jpg,02_LGAs/media/ikere/ikere-uro-rock-01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:IKERE_ROCK.jpg,Oskinde59,2018-02-08,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"IKERE ROCK by Oskinde59, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Ikere/ikere-uro-rock-01,,Landmark description and location require independent editorial verification.,Akintade Daniel Emmanuel
EK30-LGA-IKL-001,Ikole LGA Highlight Map,Ikole,"Ikole LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ikole Local Government Area.,Map,ikole-lga-highlight-map-01.png,02_LGAs/media/ikole/ikole-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ikole/ikole-lga-highlight-map-01,,Illustrative boundary map requiring independent verification.,Akintade Daniel Emmanuel
EK30-LGA-IKL-002,The Vast Hill of Ikole Town,Ikole,"Ikole-Ekiti, Ekiti State",Hill landscape offering elevated views across parts of Ikole town.,Photograph,ikole-town-hill-01.jpg,02_LGAs/media/ikole/ikole-town-hill-01.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:The_Vast_Hill_of_Ikole_Town,_Ekiti_State.jpg",Tijae07,2018-02-25,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"The Vast Hill of Ikole Town, Ekiti State by Tijae07, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Ikole/ikole-town-hill-01,,Landmark description and exact location require independent editorial verification.,Akintade Daniel Emmanuel
EK30-LGA-ILJ-001,Ilejemeje LGA Highlight Map,Ilejemeje,"Ilejemeje LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ilejemeje Local Government Area.,Map,ilejemeje-lga-highlight-map-01.png,02_LGAs/media/ilejemeje/ilejemeje-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ilejemeje/ilejemeje-lga-highlight-map-01,,Illustrative boundary map requiring independent verification. A suitable openly licensed Ilejemeje photograph remains unresolved.,Akintade Daniel Emmanuel
EK30-LGA-IRF-001,Irepodun/Ifelodun LGA Highlight Map,Irepodun/Ifelodun,"Irepodun/Ifelodun LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Irepodun/Ifelodun Local Government Area.,Map,irepodun-ifelodun-lga-highlight-map-01.png,02_LGAs/media/irepodun-ifelodun/irepodun-ifelodun-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Irepodun-Ifelodun/irepodun-ifelodun-lga-highlight-map-01,,Illustrative administrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-IRF-002,Welcome to Iyin-Ekiti Sign,Irepodun/Ifelodun,"Iyin-Ekiti, Ekiti State, Nigeria",Photograph of the welcome sign at Iyin-Ekiti in Irepodun/Ifelodun Local Government Area.,Photograph,irepodun-ifelodun-iyin-welcome-sign-01.jpg,02_LGAs/media/irepodun-ifelodun/irepodun-ifelodun-iyin-welcome-sign-01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Iyin_Ekiti.jpg,Jesu-loba,2021-06-30,2026-09-24,Reuse permitted with attribution and share-alike requirements,CC BY-SA 4.0,Pending,Yes,"Iyin Ekiti by Jesu-loba, via Wikimedia Commons, licensed under CC BY-SA 4.0.",EKITI30/LGAs/Irepodun-Ifelodun/irepodun-ifelodun-iyin-welcome-sign-01,,The photograph represents Iyin-Ekiti and not the entire Irepodun/Ifelodun LGA. Location and current condition require independent review.,Akintade Daniel Emmanuel
EK30-LGA-ISO-001,Ise/Orun LGA Highlight Map,Ise/Orun,"Ise/Orun LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ise/Orun Local Government Area.,Map,ise-orun-lga-highlight-map-01.png,02_LGAs/media/ise-orun/ise-orun-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ise-Orun/ise-orun-lga-highlight-map-01,,Illustrative administrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-MOB-001,Moba LGA Highlight Map,Moba,"Moba LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Moba Local Government Area.,Map,moba-lga-highlight-map-01.png,02_LGAs/media/moba/moba-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Moba/moba-lga-highlight-map-01,,Illustrative administrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-OYE-001,Oye LGA Highlight Map,Oye,"Oye LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Oye Local Government Area.,Map,oye-lga-highlight-map-01.png,02_LGAs/media/oye/oye-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Oye/oye-lga-highlight-map-01,,Illustrative administrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-OYE-002,Federal University Oye-Ekiti Campus,Oye,"Oye-Ekiti, Ekiti State, Nigeria","Photograph of the Federal University Oye-Ekiti campus, an important institution in Oye LGA.",Photograph,oye-fuoye-campus-01.jpg,02_LGAs/media/oye/oye-fuoye-campus-01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:FUOYE_CAMPUS.JPG,FUOYE1,2012-11-07,2026-09-24,Reuse permitted with attribution and share-alike requirements,CC BY-SA 3.0,Pending,Yes,"FUOYE CAMPUS by FUOYE1, via Wikimedia Commons, licensed under CC BY-SA 3.0.",EKITI30/LGAs/Oye/oye-fuoye-campus-01,,The photograph was taken in 2012 and may not represent the current appearance of the campus. Independent review is required.,Akintade Daniel Emmanuel
